reviews,date,country,seat_type,recommended,stars,route,type_of_traveller,Verified,Contonation
"marseille to london. i am generally annoyed with the quality of the service. i believe that we should not have to pay for a glass of water with slice of lemon in a ba flight. i realised that i forgot a big duty free bag in the plane after the passport control. i went to the ba helpdesk, the staff sent me to terminal 5 at the lost and found to pick up my bag while it was not even there. luckily, i decided to stop on the way in the lost and found of terminal 3, where they (the friendly lost and found staff and not the ba staff) nicely explained me that there was no point for me to go there and called some other agents to help me.",20th May 2019,United Kingdom,Economy Class,no,1,BLR to LHR,Business,Yes,Neutral
"the cabin crew on flight ba035 london to chennai were very efficient and did their best to take care of their clients. i did tell them i would write a review and here it is. keep up the good service and, thanks!",20th May 2019,Canada,Business Class,yes,9,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"gatwick to malaga. check in was fairly quick. the check in area at gatwick is quite nice although they are failing with general upkeep. the whole area needed vacuuming and there were stains and signs of chewing gum on the carpets. if you’re not going to look after it then you better just having normal airport flooring. the lounge at gatwick is really nice and whilst it was very busy, there were still available comfy and desk style chairs to suit. the food and drink offering was very good. tasty and varied. on board i was lucky to be able to book the exit row, which actually makes the seats better than club in my opinion. food and drinks service was fairly slow although being near the front this wasn’t a problem for me. the food offering is fairly poor really, a couple of sandwiches or snacks.. drinks selection is better. what was very nice was, near the end of the flight i was given a free glass of champagne for being a silver member. i wouldn’t expect this, and i’m sure it’s just because they had a bottle to use up, but it was a nice gesture to show to frequent flyers. still no wifi or wifi based in flight entertainment offered. priority bag tags as usual are kind of irrelevant. my bag took quite a long time to come through and was preceded by dozens of non priority bags. overall a decent flight, and very good value as i paid using avios. being silver and getting lounge access and free seat selection was a massive plus.",19th May 2019,United Kingdom,Economy Class,yes,7,Rome to Heathrow,Solo Leisure,Yes,Positive
"boston to london heathrow, was excited to experience a380 for the first time. paid a steep $91 for the seat selection on the upper deck. was very comfortable with storage cabin beneath the window. seat itself was the standard one, comfortable. the boarding was efficiently managed for such a large aircraft. there was never a massive crowd in front of the gate. the inflight service for the outbound leg was less than ideal. the food was very mediocre at best - not worth losing sleep over it. there was serious bumps along the way midflight. the a380 being so massive easily absorbed it. return was on a b777 - flight was not full but almost full. the inflight service and the food served were both remarkably better than the outbound journey. the baggage drop area however was a disaster. none of the machines worked and there was single kind hearted person assisting passengers. the boarding was again very orderly. both outbound and inbound ife was good but not as good as some long haul carriers. if both legs had similar cabin crew and food i would have scored them higher.",18th May 2019,United States,Economy Class,yes,3,Gatwick to Venice,Solo Leisure,Yes,Positive
"london to cape town in first and our first taste of the new 'soft' product. still, unfortunately, a 30 year-old 747 that hadn't had its refurbishment and was showing its age. a wardrobe door that's falling off its hinges, a non-touch touch screen and a cupboard door in the washroom that won't stay shut don't pass muster in first and blemish the impression of the positive changes in the on-board service. the young mixed fleet crew did a reasonable job and served drinks and food efficiently without the wait other reviewers have complained about. care was also taken in preparing and plating up the food. for once, nothing was overcooked and even the beef was decent. bedding is also improved, with a good quality duvet and large pillow. the ife remains the same low-res screen quality and the new headphones are uncomfortable worn for more than the duration of a single film. the goodies bag is much better and worth taking home. overall, a pretty good flight, but it remains to be seen what ba will do with its long-in-the-tooth first class when their new club suites are launched.",18th May 2019,United Kingdom,First Class,yes,5,London to Luanda,Couple Leisure,Yes,Positive
"this review is specifically aimed at the excellent cabin crew on ba 174 from jfk new york to heathrow on tue 14th may. i was travelling back from new york following a few days break with 11 girlfriends. check in and boarding was all on schedule,however it was identified that there was a technical problem and the captain advised passengers that some assistance was required to rectify the issue; this resulted in over an hour's delay leaving ny. despite this annoying delay, the cabin crew more than made up for this. they were friendly, polite and couldn't do enough to ensure our journey was comfortable and enjoyable, they were all exceptional, even those that were not serving in the section i was in. i do hope that this information is passed on.",17th May 2019,United Kingdom,Economy Class,yes,3,Denver to Heathrow,Family Leisure,Yes,Positive
"london to aberdeen. before boarding the flight i was forced to check in my bag at the gate because apparently the flight was full and i was boarding in group 5. i was traveling with the permitted allowance and discussed with the lady at the boarding gate. i saw people boarding with tax free bags on top of the other bags. being almost the last on the plane, there was free spaces to accommodate bags. i was not happy because i had the permitted allowance.",16th May 2019,United Kingdom,Economy Class,no,3,BKK to LHR,Business,Yes,Neutral
"gatwick to dubrovnik. overcrowded lounges, business class seats same as economy with middle seat empty. lgw lounge opens one hr before some eu flights in morning only and met by a large queue. and now frequent flyers don’t get free baggage anymore on long haul cheap tickets.",13th May 2019,United Kingdom,Business Class,no,5,London to Tampa,Couple Leisure,Yes,Neutral
"i paid an extra £500 for two premium economy seats on this long haul flight and was very disappointed. the seat felt small and was shabby, the tv screen was small and very dark. i tried to adjust it but it was still unwatchable. the whole experience was very poor, not premium in any way. the return flight was a code share with japan airines which was premium, a whole different experience. i would be happy to pay for their premium seats. i would advise avoid british airways premium economy as it is far from premium. i felt a complete waste of £500.",11th May 2019,United Kingdom,Premium Economy,no,5,London to Sydney,Couple Leisure,Yes,Negative
faro to heathrow. flight was very good no issues at all but yet again baggage collection was a disaster. we fly club or first all the time and without fail the baggage is always last off. spoke to ba desk and they were clueless and had no idea why this happens or how to stop it and correct it. same happened on flight out too. it is a shambles and a disgrace. waited 39 mins got cases at heathrow and this is unacceptable will kit be using them again. avoid at all costs.,10th May 2019,United Kingdom,Business Class,no,3,LHR to CPT,Couple Leisure,Yes,Negative
"vancouver to london. an excellent flight on ba. i travel this route several times a year and generally ba are much better than ac, especially on this flight, ba were way ahead of the competition. seats comfortable, food pretty good for economy, decent wine and the in flight crew, simply outstanding. professional, smiling, friendly. they embodied ba at their very best.",8th May 2019,United Kingdom,Economy Class,yes,3,BLR to LHR,Business,Yes,Positive
"gatwick to tenerife. all so wrong. lounge really overcrowded / food on the plane pretty horrid, left most of it. paid for and travelling business class and allocated four rows away from my partner,  this is normal procedure. apparently on top of a £2000 six night holiday i should have paid another hundred pounds plus to sit with my partner - total madness. this is an airline with a self destruct button, such a shame.have just booked norwegian for our next flights to barcelona and buenos aires, did not even bother to look at ba.",8th May 2019,United Kingdom,Business Class,no,1,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"washington to london. having travelled out to washington from heathrow on 23/04/19 first class i wasn't overly impressed. although the concorde room was relaxing and comfortable, the bar staff were a mixture of attentive and somewhat dismissive. the cabin crew were polite but quite surgical in their manner which gave an overall impression of a cold and clinical approach. my return journey couldn't have been more different. the ba lounge was very well presented with a fantastic choice of both food and drink but the hi-light of my return flight were the engaging nature of the cabin crew. nothing short of amazing. i was offered the usual amenities upon boarding but what set this flight apart from the start was the very happy and friendly nature of the crew. absolutely nothing was too much trouble and they took the time to chat with me and showed a real general interest in what we talked about. demeanour was perfect with both a very professional yet relaxing and engaging approach. a fantastic sense of humour and seemed genuinely delighted to assist. having had mixed levels of service with ba and always flying virgin i think ba need to track down this staff member and use her as the model for all future cabin crew training.",7th May 2019,United Kingdom,First Class,yes,9,Rome to Heathrow,Solo Leisure,Yes,Positive
"rome fiumicino to london city. a ba cityflyer service. no wait to check in. aircraft was not full. we pushed back early and arrived early. this route still has complimentary refreshments in economy, including wine – a great bonus and pleasant surprise. cabin service was pleasant and professional. a really excellent flight.",7th May 2019,United Kingdom,Economy Class,yes,7,Gatwick to Venice,Solo Leisure,Yes,Positive
"london to shanghai. the most disappointing business class i have flown in a long time. the plane was old, worn and dirty (there were crumbs of food on the seat and the floor from a previous flight), it took 2 hours to for drinks service to reach my seat after take off - the food followed shortly, which was over cooked. they seemed to be short on staff. however, what made me really angry was that there were people in the cabin who had had both drinks and food and were having their beds turned down before i’d even been offered a drink. the service was exceptionally poor. i am flying home tomorrow and am not looking forward to the flight. as a gold card holder, you might have thought ba would check their frequent fliers are being looked after? i’ll return to using other airlines in the one world group for my long haul trips, such as cathay, jal or finnair. the only reason that i’ve given more than one star is that i managed to sleep quite well - the bedding and pillows were good. ultimately though - sorry ba, not good enough.",4th May 2019,United Kingdom,Business Class,no,3,London to Luanda,Couple Leisure,Yes,Negative
"their customer service is horrible. lost our bags. here we sit in london after 2.5 days of wearing the same clothing. we fly out in 3 hours to barcelona for a 14 day cruise and have pretty much lost any hope of being reunited with our bags before we go. i spent so much $$$ on this trip to celebrate my husbands 60th birthday and our 5th wedding anniversary. it was supposed to be our trip of a lifetime. we have really been trying to make light of things, but not getting our bags today, as it's now friday and we left on tuesday am from seattle, is heartbreaking. not one single person at british airways has handled this with any kind of urgency or empathy, for that matter. one customer service agent even asked me if we would be ok getting out to heathrow to ""pick them up."" truly the worst customer experience i've had.",4th May 2019,United States,Economy Class,no,5,Denver to Heathrow,Family Leisure,Yes,Neutral
"london city to zurich, i fly this route a lot, around 8 times per year, the flight was delayed initially by an hour, i was kept up to date via the app so i was not disappointed. around 45 minutes into the flight one of the crew member came over with a card in his hands wishing me a happy birthday followed by a bottle of champagne, brandy etc, this was totally unexpected, it made my day. thanks to the crew.",2nd May 2019,United Kingdom,Economy Class,yes,3,BKK to LHR,Business,Yes,Positive
"i booked a flight from bucharest to london and return and when we were at the airport, they informed us that the flight will be delayed for 5 hours (from 8am to 1pm), then another 1 hour and a half (until 2:30 pm). we lost the money we paid for the bus tickets and they would not refund. returning to bucharest our flight was delayed and they did not  inform us about it. i understand that unforeseen situation can happen, but i have never seen such a poorly prepared company in my life.",1st May 2019,Romania,Economy Class,no,3,London to Tampa,Couple Leisure,Yes,Neutral
"london to calgary. thank you to james, a club world flight attendant on ba 0103 april 15, 2019. his service was impeccable, attentive and delightful. i thoroughly enjoyed the flight.",1st May 2019,Canada,Business Class,yes,5,London to Sydney,Couple Leisure,Yes,Positive
"vancouver to london, we were upgraded to business class at the airport. the staff were absolutely delightful and had a fabulous trip. really they could not have been more helpful and i would recommend them.",1st May 2019,United Kingdom,Business Class,yes,5,LHR to CPT,Couple Leisure,Yes,Positive
"houston to london. the plane left an hour late while an engineer dealt with a problem. i’ve no problem with that, i like travelling safely. i thought, well i’m sure i’d booked an aisle seat online but it appears it was a window. i missed out on the airline meal and when i realised i buzzed the steward and requested a sandwich and water, explaining the problem. he fetched me a sandwich and various bits he’d scrabbled together from the kitchen. later when the liquid refreshment cane round, both my neighbour and i requested water and i had to reach across him for my drink as he helped himself to his drink and left me to it.",29th April 2019,United Kingdom,Economy Class,no,3,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"london to delhi. the worst business class trip for us. seats much smaller than business class on singapore air, thai international, eva air, qantas; not seated together - same surname, mr and mrs - but moved after. no privacy on middle seats; one tiny drawer is only storage for shoes, ipad, makeup and sponge bag, book etc. film/tv selection was very limited and my choice wasn’t working. the food was very poor - main course congealed and so basic with a dessert that was pathetic, no tea, coffee, or chocolates offered to us. breakfast had no jam with the croissant. nobody came round during the flight offering extra water or other beverages. the crew didn’t put themselves out. if one pays more for business class one expects more and we didn’t get it. i would never choose to travel ba again.",29th April 2019,Australia,Business Class,no,1,Rome to Heathrow,Solo Leisure,Yes,Negative
"bucharest to london. my flight with british airways was 7 hours delayed (from a european destination to london). i applied for compensation for this delay. initially i was informed that under eu regulations i would receive 400 euros compensation, to be informed 4 days later that this was an error and that i was no longer getting compensated. british airways argued that sickness of a crew member is considered extraordinary circumstances (comparable with weather issues) and that therefore, they do not have to compensate passengers for this flight. however, there are court precedence cases that clearly show that crew sickness is not to be considered an extraordinary circumstance and that it is in an airlines responsibility to have a contingency strategy for such cases or compensate if they do not. i have talked to the manager of customer service and was told that there is nothing they can do as this is their policy. i believe that, if not on legal basis, british airways should have compensated out of customer service reasons because a 7 hour delay (within europe) is significant. many times i picked to fly with british airways based on the expectations of good customer service in the case of anything going wrong. but this experience proved to me that it's not worth investing that extra money into flying with british airways.",27th April 2019,United Kingdom,Economy Class,no,9,Gatwick to Venice,Solo Leisure,Yes,Negative
london heathrow to bengaluru. i found the crew very friendly and even humorous! whenever the airhostesses passed through the aisle (i was on a seat next to the aisle) we would exchange some friendly comments which almost always lead to muffled laughs!  one air hostess admitted that she enjoyed such conversations which made the stress of her work lighter!,23rd April 2019,India,Economy Class,yes,7,London to Luanda,Couple Leisure,Yes,Positive
dublin to london heathrow. british airways offered a very good overall service on this flight. i booked online and found that process very easy. the caveat was not being able to select the seat i wanted ahead of travel without paying another fee. the check-in lady was very friendly and helpful and gave a good account of herself. the flight departed on-time and the captain made frequent announcements. within the previous two weeks i had flown with ba twice within europe and this flight was by the best of the 3 thanks to the staff. the flight was relatively short but well managed with a nice drop down map and staff visibly make a real effort. one curiosity was the staff handing out uk landing cards the flight was punctual and reliable.,22nd April 2019,United Kingdom,Economy Class,yes,5,BKK to LHR,Business,Yes,Positive
"london to seattle. my seat was on the upper deck, a nice perk for seattle flights to europe (ba is the only one flying 747s to europe from seattle). overall the product is outdated. service was not at the level it used to be. staff is polite and professional but they keep the service to a minimum.  upper deck crew on this flight was mainly uninterested except the bare minimum.  no additional service, no top ups, not offering water during the flight. of course if you ask for something you do get it. there was also a lot of traffic on the stairway connecting upper and lower deck with the crew congregating at the lower deck.  i hope ba will improve their act. i certainly won’t use their services in foreseeable future.",18th April 2019,United States,Business Class,no,3,London to Tampa,Couple Leisure,Yes,Positive
"london to gibraltar. check in at t3 was fine, lounge was good and staff were more proactive than was previously the case. flight was good with decent lunch served including the kids meals which were fine. skilled landing in gibraltar- a good flight",18th April 2019,United Kingdom,Business Class,yes,3,London to Sydney,Couple Leisure,Yes,Positive
"london to boston. ba replaced a380 with a very old boeing 747. video system did not work for more than 1 hour, then work for a few hours and stopped working. no wifi, very old plane. service ok. not good for business traveling.",17th April 2019,United States,Business Class,no,5,LHR to CPT,Couple Leisure,Yes,Negative
"london to doha. similar to our outbound flight, the seats are comfortable but behind the competition, very small storage area , if you are tall try sleeping sitting up or in the cradle position as the bed is just not long enough. the food portions seems like you are forced to go on a diet, though the taste was ok. the entertainment system had the worst selection of any airline i have flown lately - but their check in baggage policy makes them a very attractive option when you see what their opposition charges for excess luggage.",14th April 2019,Qatar,Business Class,yes,5,BLR to LHR,Business,Yes,Neutral
"london heathrow to houston. despite sitting at the back of the plane we were really well looked after. without exception all of the staff in this cabin were exceptionally friendly and professional. they really seemed to be enjoying their work. lunch and a pre landing snack were provide together with an ice cream mid flight. commendably, even in these days of austerity, my pre lunch gin was served with fever tree tonic. well done ba. frequent drinks runs were made. despite its age the jumbo was well turned out internally. the only downside was because of air traffic issues at heathrow the flight arrived late. this meant that we almost missed our connecting domestic flight. this was mainly down to tardy immigration procedures, the need to pick up our bags and transfer to another terminal for our ongoing flight. all very stressful.",14th April 2019,United Kingdom,Economy Class,yes,3,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"i booked my ba flight from zurich to london heathrow using avios, my frequent flyer number had to be added 3 times during the booking process. when i tried to reserve an aisle seat (for medical reasons) the ba website showed that all of the seats had been allocated save for a few seats for which i would have had to pay about thirty pounds. the check-in area for ba at zurich airport is in a hard to find spot of the airport. the check-in agent was very professional, helpful and informative. the area of departure from zurich was by transfer train. the flight boarded in an orderly manner and left more or less on time. i was dismayed to see cabin crew serve alcohol to a group of already drunk german speaking sports fans. one of the cabin crew declared that she had run out of beer and then suggested to an increasingly loud and aggressive man that he might like the cider instead. in the meantime the same crew members ignored me and other passengers while offering the trolley service. the overhead maps were not used and the captain made minimal announcements during the flight none of which were in german. the flight arrived reasonably promptly.",14th April 2019,United Kingdom,Economy Class,no,1,Gatwick to Venice,Solo Leisure,Yes,Neutral
the booking process was easy enough but they have reduced the baggage allowance in terms of the seats one can book. the cost of including a bag added considerably to the cheapest fare. check-in was well managed and it was good to see passengers with too much luggage required to check their bags in. departure was well managed and although there was a delay the captain communicated well. my gripe is that my seat was dirty and the window was also dirty.  some of the to buy m&s food items were not available and the lavatory i used was dirty. the staff were very professional and pleasant and the drop-down route map was nice especially for the younger passengers to enjoy. hardworking crew.,13th April 2019,United Kingdom,Economy Class,yes,9,London to Luanda,Couple Leisure,Yes,Positive
"london to tokyo narita. had a fantastic flight in the new ba first cabin on the boeing 787. on both journeys the crew were outstanding as was the food and the service. the food was of high end restaurant standard, the seat comfortable.",12th April 2019,United Kingdom,First Class,yes,7,Denver to Heathrow,Family Leisure,Yes,Positive
"bridgetown to london gatwick. paid for a business class flight. the onboard service was abysmal. no refreshments offered on boarding. dinner took three hours to be served (on a night flight). my husband had to go to the galley twice for his dinner requests, he’d been forgotten. i requested ‘express’ service, which didn’t happen. website advertises ‘premium levels of service’ and ‘every journey unique and unforgettable.’ the service was dreadful, but the journey was definitely unforgettable for the wrong reasons. don’t waste your money with this airline, you don’t get what you pay for and they try to compensate by offering loyalty points, and telling you that you don’t pay for the service, that the extra costs are for taxes, the lounge and extra loyalty points. all ba could respond with was a goodwill gesture of loyalty points. really?",11th April 2019,United Kingdom,Business Class,no,3,BKK to LHR,Business,Yes,Positive
"st lucia to gatwick on which my wife and i were both involuntarily downgraded from premium economy to economy due overbooking on the flight. it should be noted that at no time was there any announcement for volunteers for downgrading at vieux fort airport. i now know from your cabin crew that it is normal practice for appeals for volunteers to be put over the tannoy system before any enforced downgrades. at the time of going through the baggage hall getting our boarding passes we queried them as none had seat numbers on them to which we were told to just to go through security and our seats would be allocated when we went through the departure gate. once in the departure lounge all four of us were tannoyed to return to the baggage hall when we were then told that my wife and i were being downgraded to economy. the male telling us this more or less indicated this was the only way we would be getting on the flight giving us £75 per each on a prepayment card as compensation under article 7.3 of ec 261/2004 stating however that this did not affect our statutory rights. he then told us he would find us in the departure lounge and then all four of us had to go through security once again. the male who we spoke to in the baggage hall did not come and find us, we had to go and find him when he also told me that he had put my wife and i on a row with no other passengers which we assumed, rightly or wrongly, was so we could not tell people sitting beside us about the poor service we had received from ba. however two other passengers did come and sit beside us with the passenger sitting beside my wife telling her this was because the seat they had been allocated was soaking wet and smelt of urine and the cabin crew had asked them to sit on it with a cushion which they had refused and so they were given the seats next to us which was no problem. what further concerned me even more was one of your cabin crew walking past another passenger with their seat in the reclined position on three separate occasions just prior to approaching gatwick and after the pilot had requested seat belts on and seats in upright positions, never telling the passenger to raise their seat. ba’s latest advert celebrates 100 years of ba but for me their service is going backwards. the music that accompanies the advert is called ‘salvation’ and by the end of the flight my wife and i were surely seeking it. article 10 of ec regulation 261/2004 is worth reading if this happens to you.",11th April 2019,United Kingdom,Economy Class,no,5,London to Tampa,Couple Leisure,Yes,Positive
"chicago to london. cancelled flights just a few hours before i left home, then put me on a different flight which would have made it impossible to make my connecting flight. was finally put on a different flight. on the way home, because my first flight was through american airlines, and the second through british airways (all in the same booking), i was only able to check in and get a seat on the american airlines flight, as i was redirected every time to their website. couldn’t check in for the british airways flight so had to have a middle seat which is very uncomfortable. i always check in 24 hours before to guarantee a seat, but ba wouldn’t allow me to do this.",10th April 2019,United Kingdom,Economy Class,no,3,London to Sydney,Couple Leisure,Yes,Neutral
london to bangalore. this was the worst experience. i flew with my infant daughter ande cabin crew was extremely rude. i was surprised that there was no way to heat milk for my daughter. i found the food portions so meagre. not sufficient for a child also.  british airways is sad in every sense of the term.,6th April 2019,India,Economy Class,no,3,LHR to CPT,Couple Leisure,Yes,Negative
"hamburg to abu dhabi via heathrow. the 1.5h flight from hamburg to heathrow was like flying a budget carrier. no free service at all, everything has to be purchased at inflated prices. heathrow t5 the usual chaos. i can use the f lounge due to my one world status. massive lounge, crowded with the charm and food quality of a cafeteria. toilets filthy. one of the worst lounges i’ve seen. boarding orderly and well organized. boeing 788 ife screen broken. seats very uncomfortable and narrow. service and food quality average. flight abu dhabi to heathrow delayed by almost an hour due to late arrival of the flight crew, this is something i have never experieinced before. rest of the journey uneventful. overall a rather disappointing experience. ba cannot compete with the middle eastern carriers.",1st April 2019,Germany,Economy Class,no,5,BLR to LHR,Business,Yes,Negative
"london to seville. following on from mistakenly booking a return flight with ba despite having a previous confirmed booking with a competitor, i quickly called up ba to resolve the issue. they understood the problem and gave me a full refund. the agent was exceptionally helpful on the phone and provided me a quick answer and solution to the problem. i don’t believe most airlines would have accepted my reasoning, however it’s great to see ba treat their customers with care.",1st April 2019,United Kingdom,Economy Class,yes,5,Heathrow to Las Vegas,Family Leisure,Yes,Positive
"doha to paris via london. this is the first time using ba since october 2002, nothing has changed,  the same reversible business class seats with very little storage space still comfortable but the business has caught up with ba and left them behind, with very poor entertainment selection and limited food choice. it cannot compare with other business leaders like cathay and qatar airways but on this route ba charges the same price as qatar airways but delivers a much poorer product, though the service was ok not as personal but alright. where they are better is with their check in luggage policy of 2 bags 32 kgs each they are superior and generous. i will still use them but look forward to them rolling in the new business class.",1st April 2019,Qatar,Business Class,yes,3,Rome to Heathrow,Solo Leisure,Yes,Positive
"madrid to london ba0457 on the 18/03. couldn't have been a better service. long time since i flew club europe but it was an amazing experience. the welcome aboard was excellent and so was the service and food. stephen, one of the flight attendants was so attentive and happy to help that he probably made it the best short haul flight experience i have had in a long time. well done to the crew on that flight!",29th March 2019,United Kingdom,Business Class,yes,3,Gatwick to Venice,Solo Leisure,Yes,Positive
"on the flight to tokyo, i was separated from my wife even though it was our honeymoon. thanks. the return felt like a 12 hour easyjet flight. one meal and one half meal. limited drinks. very small seats. i’m 5 foot 9 and my knees touched the seat in front. very, very mediocre.",28th March 2019,United Kingdom,Economy Class,no,1,London to Luanda,Couple Leisure,Yes,Positive
"london to vancouver. check in agent very helpful in searching out seat options. very smooth process. the disappointment was the receptionist at the galleries lounge at t3 who was rude and unhelpful. all was redeemed once on board. the crew were excellent throughout the flight in the best british airways tradition - friendly, helpful and attentive. food not great but on a par with economy in other airlines. wines better than many airlines. the aircraft was clean and reasonably well maintained for an older 747-400. ife selection good.",23rd March 2019,United Kingdom,Economy Class,yes,9,Denver to Heathrow,Family Leisure,Yes,Positive
"the first class zone at heathrow t5 and the concorde lounge are very good. service on board was excellent in both directions. the cabin layout is unimpressive and the food is nothing to write home about. the screen is small, with poor resolution. i enjoyed the flights in both directions, mainly because of the service. this first does not compare well with that of middle eastern and asian airlines, but ba business class is so poor, i either fly economy or (when i am very lucky) try to fly first.",23rd March 2019,United Kingdom,First Class,yes,7,BKK to LHR,Business,Yes,Neutral
i had a miserable experience in first class from london to chicago. i had requested a special meal but that was not available. when i complained to customer relations they simply said too bad and insulted me by offering 10 k miles. the bathroom lacked amenities and i found the service was barebones. the angled suite is not private and when i stretched my feet hit a metal band in the middle of the foot rest. video screen is small and must be stowed away 20 min before landing. cabin crew never asked what i wanted and were only available when you press the call button. in flight entertainment is poor.,21st March 2019,United States,First Class,no,3,London to Tampa,Couple Leisure,Yes,Negative
leeds bradford to las vegas via heathrow. customer services handling of my question never answered it. three times i asked them to explain why the cost of my one checked bag caused the fare to increase over £100 on the outbound flight. this was before any increase other than the increase announced for the short lba lhr fare. i asked why the fare was so much when i could have booked a seat for the bag for about £50. the response was we are doing what everyone else is doing. they never could explain why the fare increased by over £100 when i indicated one checked bag. i asked to speak with someone but that was never responded to. book lhr las at that time and one bag included. customer service apparently did not understand what i was asking because the answer provided was non-responsive.,19th March 2019,United Kingdom,Economy Class,yes,5,London to Sydney,Couple Leisure,Yes,Positive
"dallas to london heathrow in first class. this is the worst experience i have had on a flight. the crew was indifferent and unresponsive, and treated you more like you were a nuisance to them. there was even less service from this so called first class crew than you get in tourist class in most airlines. the attitude and service of the crew was abysmal. when you have average food and wine on offer and a rather outdated cabin in first class, at least you should prioritize service as your competitive advantage to your full paying customers. this was nothing but a waste of money. i doubt very much i will go back to british airways again.",19th March 2019,Norway,First Class,no,3,LHR to CPT,Couple Leisure,Yes,Neutral
"tenerife to heathrow. effectively a budget airline masquerading at premium airline prices. have flown several budget airlines in the past which have offered far more in terms of value for money and service. seats are rigid and i felt as if i was leaning forward for the the majority of the flight. when i tried to put my seat back to recline, i estimate it moved around 5 degrees. leg room is also non existent. m&s food ran out halfway through the 5 hour flight and although cabin crew were apologetic, for food to run out during a lunchtime flight is inexcusable and highlights how badly the airline is being managed by the upper echelons. furthermore, several other budget airlines at the airport had flights leaving directly from the terminal requiring no bussing of passengers. ba again in a move to save money opt for bussing passengers to the far reaches of the airport to avoid paying extra charges for utilising direct access from airport terminals. can't fault the staff onboard who are clearly dedicated to the ba brand. they are professional, friendly and courteous. it's clear that british airways are not the airline they once were and i hope that passengers begin to vote with their feet as drastic changes are needed to bring the airline back to its former glory.",18th March 2019,United Kingdom,Economy Class,no,3,BLR to LHR,Business,Yes,Positive
"heathrow to larnaca - departed on time, flight nearly full. m&s food available to passengers ran out while cabin crew were half way down the aisle. larnaca to heathrow - two messages received while in larnaca airport - the flight would be delayed by over an hour-departure was supposed to be at 7.15 pm but we took off nearer to 9 pm. the second message was that there was no food to be served on the flight, ""we recognise that this does not meet with the standards you expect from us"". the flight was 5 hours long-so this combination of a delayed departure and no food available on board is totally unacceptable - worse than a budget airline. a midnight arrival at heathrow was then compounded by off loading cargo before the passengers because of a ""balance problem"". in addition i was incorrectly charged eur 75 on the return leg for my case - it was clearly the same case that i travlled out to cyprus with but the system identified it as extra baggage. cattle class is an under rated description of the service offered to customers. the only saving grace was the cabin crew-particularly the customer service manager-who promised to follow up the baggage issue and logged my complaint. it will take ages to resolve but he was helpful and pleasant throughout. how british airways can offer such a poor product and expect people to keep flying with them is beyond me.",16th March 2019,United Kingdom,Economy Class,no,5,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"los angeles to london. a very enjoyable and comfortable flight on the new recliner seat set up on the 787. ba have raised their game and provides a superior seat to make for a relaxed flight . if you are travelling solo a retractable divider gives you privacy from your neighbour. only problem is the 2x3x2 layout is one too many seats across, as it leaves two very narrow gangways; if you have an aisle seat in the ""turn right"" section in business class you will be constantly whacked unintentionally(?) by economy section passengers with their carry-ons when boarding. food and drinks were excellent, with courses served separately and the wine bottle frequently produced by flight attendants who gave a great service to their passengers. entertainment choice also excellent with a film choice for everyone. thanks also to two people most of us forget - the flight crew who got us safely to heathrow 15 minutes early and put the plane down so gently we hardly noticed we had arrived! well done ba for providing such a good product and service.",14th March 2019,United Kingdom,Business Class,yes,5,Rome to Heathrow,Solo Leisure,Yes,Positive
"london to phoenix, ba289 yesterday. the plane was supposed to land at 1835. however, it landed at 1940. because of this i missed my connecting flight to ontario, california aboard american airlines. by the time i was able to go through custom and pick up my luggage, it was already 2030. the flight departs at 2037. i went to the ground crew of american airlines, they told me that i will not be able to make it to my connecting flight as they are already on the runway. they then directed me to british airways. i went to the ground attendant of british airways and she told me to go back to american airlines to get it re booked. i went back to american airlines then they told me again to back to british airways since they are they the one who caused the delay. i went back to british airways with the american airlines supervisor. the british airways attendant gave me a card with the customer service number and told me to call them in the morning. she did not offer any explanations or anything. american airlines said we can re booked it for tomorrow morning but they did not offer any accommodation. i ended up getting my own car rental and drove from phoenix to california in the middle of the night since i was not able to resolve this issues with both airlines.",14th March 2019,United States,Economy Class,no,3,Gatwick to Venice,Solo Leisure,Yes,Negative
"san francisco to london. after paying £4000 for flights which i had to cancel, they wouldn't allow any change of dates or change of name, and after all that wouldn't give me the  avios points because i wont be on the flight.",13th March 2019,United Kingdom,Business Class,no,3,London to Luanda,Couple Leisure,Yes,Neutral
"rome to london. one of the best european airlines to travel with for short haul flights. the online website is very clear and easy to use. check-in procedure was smooth. the gate was very close to the shopping area. boarding the flight was very well organised and quick and through the airbridge. the only negative aspect is that you will need to pay for a drink, as they don’t serve anything free on all european routes.",13th March 2019,United Kingdom,Economy Class,yes,1,Denver to Heathrow,Family Leisure,Yes,Positive
"cologne to gatwick in economy class with an silver status ba card. no online check-in available.  ba website suggests passenger to arrive at the airport 3 hours before flight departure but airport check-in (the only available option) starts 2 hours before departure. no lounge available (there is a lounge in the terminal open to other airline customers, except ba). no priority boarding for business and elite level passengers. boarding the plane by bus. not even free water on board in economy.",12th March 2019,United Kingdom,Economy Class,no,9,BKK to LHR,Business,Yes,Negative
